Event,mass_1,mass_2,chi_eff,chi_p,SNR,Mean,Normalized Mean,Fraction,J-S Distance
GW150914_095045,$38.00_-2.96^+5.09$,$33.01_-5.11^+3.20$,$-0.04_-0.14^+0.12$,$0.51_-0.39^+0.35$,24.4,2.57,0.11,0.4,0.05
GW151012_095443,$29.62_-6.87^+17.08$,$16.30_-6.02^+5.73$,$0.12_-0.21^+0.28$,$0.36_-0.27^+0.43$,10,1.26,0.13,0.84,0.02
GW151226_033853,$15.51_-4.00^+12.20$,$8.17_-3.01^+2.62$,$0.20_-0.08^+0.23$,$0.52_-0.36^+0.36$,13.1,2.38,0.18,0.55,nan
GW170104_101158,$34.78_-4.85^+7.73$,$25.25_-5.60^+4.43$,$-0.04_-0.19^+0.15$,$0.40_-0.31^+0.40$,13,1.25,0.1,0.87,0.01
GW170608_020116,$11.58_-1.67^+5.20$,$8.27_-2.26^+1.33$,$0.04_-0.05^+0.16$,$0.36_-0.28^+0.46$,14.9,1.92,0.13,0.66,nan
GW170729_185629,$78.09_-14.60^+18.47$,$43.98_-16.98^+18.03$,$0.28_-0.32^+0.25$,$0.38_-0.28^+0.40$,10.8,2.21,0.2,0.56,0.03
GW170809_082821,$41.33_-6.14^+10.07$,$29.56_-6.76^+5.58$,$0.09_-0.17^+0.17$,$0.44_-0.34^+0.43$,12.4,1.84,0.15,0.65,nan
GW170814_103043,$34.70_-3.52^+6.01$,$28.03_-4.59^+3.22$,$0.08_-0.12^+0.13$,$0.48_-0.37^+0.38$,15.9,2.06,0.13,0.54,0.04
GW170818_022509,$41.81_-5.06^+8.40$,$33.14_-6.35^+5.05$,$-0.09_-0.23^+0.20$,$0.59_-0.41^+0.33$,11.3,1.44,0.13,0.81,0.02
GW170823_131358,$51.67_-7.85^+11.92$,$39.42_-11.03^+8.11$,$0.05_-0.22^+0.21$,$0.47_-0.35^+0.41$,11.5,1.74,0.15,0.68,0.01
GW190408_181802,$31.70_-3.88^+6.96$,$23.83_-5.01^+3.56$,$-0.03_-0.17^+0.13$,$0.37_-0.29^+0.41$,14.4,1.1,0.08,0.93,0.0
GW190412_053044,$34.21_-4.71^+5.71$,$9.64_-1.09^+1.28$,$0.25_-0.10^+0.10$,$0.20_-0.11^+0.16$,18.2,3.26,0.18,0.16,nan
GW190413_052954,$55.00_-10.83^+16.51$,$39.02_-11.80^+10.18$,$0.00_-0.31^+0.29$,$0.42_-0.32^+0.43$,8.5,1.48,0.17,0.77,0.01
GW190413_134308,$82.49_-15.01^+18.56$,$55.28_-23.95^+17.08$,$0.02_-0.34^+0.28$,$0.53_-0.39^+0.38$,10.3,1.87,0.18,0.64,0.04
GW190421_213856,$62.17_-9.11^+13.91$,$46.61_-14.34^+10.44$,$-0.07_-0.26^+0.22$,$0.45_-0.34^+0.42$,9.7,1.65,0.17,0.71,0.03
GW190503_185404,$53.32_-10.28^+12.17$,$36.45_-12.62^+10.17$,$-0.05_-0.30^+0.23$,$0.43_-0.33^+0.40$,12.2,2.34,0.19,0.5,0.01
GW190512_180714,$30.14_-7.36^+7.79$,$15.47_-3.17^+4.89$,$0.03_-0.15^+0.15$,$0.29_-0.22^+0.46$,12.2,1.44,0.12,0.79,nan
